t,t1,t2,Struct-relax,Diffusion-constant,DW-Factor
1.50,NAN,NAN,9.68161e+05,5.86365e-07,0.0690992
1.55,NAN,NAN,3.20000e+05,1.11217e-06,0.0735175
1.60,9.60000e+05,6.80000e+05,7.06900e+04,3.09605e-06,0.0818209
1.62,1.33064e+06,9.43548e+05,8.81610e+04,3.10852e-06,0.0783549
1.65,1.63686e+05,1.10690e+05,1.06360e+04,1.39304e-05,0.0975358
1.68,1.10690e+05,6.35480e+04,4.80400e+03,2.02136e-05,0.106427
1.70,6.35480e+04,4.00000e+04,2.17000e+03,3.35268e-05,0.107753
1.75,1.38620e+04,6.26100e+03,2.60000e+02,1.13753e-04,0.138465
1.80,4.81900e+03,2.02700e+03,5.40000e+01,2.88113e-04,0.159439
1.90,1.61600e+03,5.20000e+02,7.00000e+00,8.94642e-04,0.232199
2.00,6.53000e+02,2.10000e+02,2.00000e+00,2.31587e-03,0.420455
2.50,8.50000e+01,2.10000e+01,1.00000e+00,1.95359e-02,0.246932
3.00,3.40000e+01,8.00000e+00,1.00000e+00,4.54694e-02,0.20355
3.50,2.10000e+01,5.00000e+00,1.00000e+00,8.43681e-02,0.393125
