t,Structure-factor,t1,t2,Struct-relax,Diffusion-constant
0.65,
0.68,
0.70,
0.75,5.60632e+00,NAN,NAN,NAN,2.66890e-08
0.80,5.15339e+00,NAN,NAN,NAN,3.08424e-08
0.85,5.46412e+00,NAN,NAN,NAN,5.50650e-08
0.90,5.24801e+00,NAN,NAN,NAN,4.29275e-08
1.00,5.44772e+00,NAN,NAN,NAN,4.90578e-08
1.20,5.52254e+00,NAN,NAN,2.17800e+07,3.01295e-07
1.40,5.59284e+00,1.47800e+07,6.48000e+06,1.80900e+05,5.89165e-06
1.60,5.31854e+00,1.48000e+06,5.58900e+05,1.49000e+04,7.06123e-05
2.00,5.20688e+00,1.68900e+05,4.69000e+04,2.91000e+03,7.78344e-04
2.50,5.77051e+00,4.19000e+04,1.29000e+04,1.10000e+03,1.46508e-03
3.00,4.58088e+00,2.29000e+04,5.44000e+03,7.20000e+02,6.53679e-03
4.00,4.68432e+00,9.34000e+03,2.40000e+03,4.30000e+02,5.78767e-03
5.00,4.59406e+00,5.98000e+03,1.38000e+03,3.20000e+02,2.06799e-03
